"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_name,participant_information,,text,"Record ID",,,,,,y,,,,,,,
age_exclus,participant_information,,yesno,"Are you between the ages of 18-24?",,,,,,,,y,,,,,
age,participant_information,,text,"What is your age?",,,integer,18,24,,"[age_exclus] = '1'",y,,,,,
vision,participant_information,,yesno,"Do you have normal or corrected-to-normal vision (i.e., can see color normally, and if you need glasses, you are wearing them or contact lenses)?",,,,,,,,y,,,,,
head_injury,participant_information,,yesno,"Have you ever had an injury to the head that's caused you to be knocked out for a period of time (E.g. from a fall, blow to the head, road traffic accident)?",,,,,,,,y,,,,,
fluent,participant_information,,radio,"Are you fluent in English?","1, Yes | 2, No",,,,,,,y,,,,,
internet_connection,participant_information,,yesno,"Do you have an internet connection that you are willing to use as part of a study?",,,,,,,,y,,,,,
webcam,participant_information,,yesno,"Do you have a webcam or built-in camera that you are willing to use as part of a study?",,,,,,,,y,,,,,
record_self,participant_information,,yesno,"Are you willing to record yourself via a webcam as part of a study?",,,,,,,,y,,,,,
computer,participant_information,,yesno,"Do you have a desktop or laptop computer that you are willing to use to complete this study (cannot use phone/tablet)?",,,,,,,,y,,,,,
recruitment_source,participant_information,,radio,"Are you recruited from SONA Systems or from elsewhere?","1, SONA Systems | 2, Elsewhere",,,,,,,y,,,,,
user_fullname,participant_information,,text,"What is your full name?",,,,,,y,"[recruitment_source] = '1' OR [recruitment_source] = '2'",y,,,,,
user_email,participant_information,,text,"What is your email address?",,,email,,,y,"[recruitment_source] = '1' OR [recruitment_source] = '2'",y,,,,,
user_phone,participant_information,,text,"What is your phone number?",,,,,,y,"[recruitment_source] = '1' OR [recruitment_source] = '2'",y,,,,,
note,participant_information,,radio,"<div class=""rich-text-field-label""><p>You will receive an email concerning your eligibility in the next couple of minutes; please do not fill out this form again.<br /><br />Please note that the day/time of part 2 of the study will be scheduled after you complete part 1. Even if you have already signed up for part 2 on Sona, you will have to select a new available time on Calendly, which will be offered to you when you complete part 1 of the study. (The time listed for part 2 on Sona is not the actual date of the part 2 visit; the one selected on Calendly will be the actual meeting time.) For any questions, please email <a href=""mailto:ndclaba@fiu.edu"">ndclaba@fiu.edu</a></p> <p>Do you understand that you will shortly receive an email regarding your eligibility for this study and that you will need to schedule part 2 after completing part 1?</p></div>","1, Yes",,,,,,,y,LV,,,,
consent_1a,consent_1a,,descriptive,"Please view the consent form written below. You may also download the consent form, which is attached below.",,,,,,,,,,,,,
